title,author,genre,rating,description,image_url,cover_url
Brave New World,Aldous Huxley,Fiction,4.0,,,https://covers.openlibrary.org/b/id/8231823-M.jpg
Sapiens,Yuval Noah Harari,History,5.0,,,https://covers.openlibrary.org/b/id/8634250-M.jpg
Clean Code,Robert C. Martin,Programming,4.0,,,https://covers.openlibrary.org/b/id/8065615-M.jpg
The Old Man and the Sea,Ernest Hemingway,Literary Fiction,4.5,"A seasoned Cuban fisherman, Santiago, battles a giant marlin far out in the Gulf Stream, testing his endurance and skill. The novella explores themes of perseverance, dignity, and the human struggle against nature.",,https://covers.openlibrary.org/b/id/463307-M.jpg
Night Circus,Erin Morgenstern,Fantasy,4.5,"A mysterious circus that appears without warning becomes the stage for a fierce competition between two young illusionists, who are bound to each other by a pact made before their birth. The novel weaves themes of love, destiny, and the blurred line between reality and enchantment as the circus travels across continents, enchanting audiences with its otherworldly wonders.",,https://covers.openlibrary.org/b/id/8773134-M.jpg
A Short History of Nearly Everything,Bill Bryson,Popular Science,4.5,"Bill Bryson takes readers on a sweeping tour of the universe, from the Big Bang to the present, weaving scientific facts with humor and personal anecdotes. The book explores the development of scientific ideas, the people behind them, and the profound impact of science on everyday life.",,https://covers.openlibrary.org/b/id/12725620-M.jpg
To Kill a Mockingbird,Harper Lee,Southern Gothic,4.8,"Set in the racially divided town of Maycomb, Alabama, the novel follows young Scout Finch as her father, Atticus, defends a black man unjustly accused of rape, exposing deep-seated prejudice. Through Scout's eyes, the story explores themes of moral growth, empathy, and the loss of innocence.",,https://covers.openlibrary.org/b/id/14351077-M.jpg
Pride and Prejudice,Jane Austen,Classic Romance,4.5,"Set in early 19th-century England, the novel follows Elizabeth Bennet as she navigates societal expectations, family dynamics, and her evolving relationship with the proud Mr. Darcy. Through wit and keen social observation, Austen explores themes of class, marriage, and the importance of personal growth.",,https://covers.openlibrary.org/b/id/14348537-M.jpg
Dracula,Bram Stoker,Gothic Horror,4.2,"Count Dracula, a Transylvanian vampire, travels to England to spread his undead curse, while a group of friends led by Jonathan Harker and Mina Harker fight to thwart his plans. The novel explores themes of fear of the unknown, the clash between modern science and ancient superstition, and the dangers of unchecked desire.",,https://covers.openlibrary.org/b/id/12216503-M.jpg
The Trial,Franz Kafka,Dystopian Fiction,4.2,"The novel follows Josef K., a seemingly ordinary clerk who is arrested and prosecuted by a mysterious, labyrinthine bureaucracy for an unspecified crime, illustrating the absurdity and alienation of modern society. Through his futile attempts to navigate the opaque legal system, Kafka explores themes of guilt, powerlessness, and the existential dread of confronting an indifferent, authoritarian world.",,https://covers.openlibrary.org/b/id/6636110-M.jpg
